"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00083342","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662313",
"MGYA00083446","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662311",
"MGYA00126406","3.0","SRS085734","MGYS00000355","metagenomic",,"SRR062207",
"MGYA00096462","3.0","ERS1507288","MGYS00001432","metagenomic",,"ERR1801672",
"MGYA00083470","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662390",
"MGYA00083097","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662330",
"MGYA00100653","3.0","ERS1286102","MGYS00001512","metagenomic",,"ERR1560017",
"MGYA00104204","3.0","ERS614327","MGYS00001609","metagenomic",,"ERR694117",
"MGYA00083477","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662303",
"MGYA00085840","3.0","ERS1396358","MGYS00001320","metagenomic",,"ERR1739691",
"MGYA00134827","3.0","SRS981315","MGYS00001932","metagenomic",,"SRR2090078",
"MGYA00083175","3.0","ERS1372604","MGYS00001282","metagenomic",,"ERR1664681",
"MGYA00103960","3.0","ERS714917","MGYS00001608","metagenomic",,"ERR868044",
"MGYA00083285","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662344",
"MGYA00096466","3.0","ERS1507288","MGYS00001432","metagenomic",,"ERR1801674",
"MGYA00131522","3.0","SRS172667","MGYS00001836","metagenomic",,"SRR100496",
"MGYA00126330","3.0","SRS085742","MGYS00000355","metagenomic",,"SRR062216",
"MGYA00083224","3.0","ERS1372606","MGYS00001282","metagenomic",,"ERR1664697",
"MGYA00126436","3.0","SRS085681","MGYS00000355","metagenomic",,"SRR062154",
"MGYA00083473","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662210",
"MGYA00126347","3.0","SRS085739","MGYS00000355","metagenomic",,"SRR062213",
"MGYA00083453","3.0","ERS1370017","MGYS00001282","metagenomic",,"ERR1662201",
"MGYA00083496","3.0","ERS1370019","MGYS00001282","metagenomic",,"ERR1662236",
"MGYA00096487","3.0","ERS1507288","MGYS00001432","metagenomic",,"ERR1801671",
"MGYA00083130","3.0","ERS1372610","MGYS00001282","metagenomic",,"ERR1664717",
"MGYA00083119","3.0","ERS1370014","MGYS00001282","metagenomic",,"ERR1662402",
"MGYA00102593","3.0","SRS1043985","MGYS00001539","metagenomic",,"SRR2135750",
"MGYA00134766","3.0","SRS981311","MGYS00001932","metagenomic",,"SRR2090082",
"MGYA00103361","3.0","ERS1176147","MGYS00000991","metagenomic",,"ERR1424899",
"MGYA00083429","3.0","ERS1372606","MGYS00001282","metagenomic",,"ERR1664699",
"MGYA00096436","3.0","ERS1502387","MGYS00001430","metagenomic",,"ERR1794058",
"MGYA00133884","3.0","ERS492376","MGYS00001918","metagenomic",,"ERR599369",
"MGYA00083196","3.0","ERS1370017","MGYS00001282","metagenomic",,"ERR1662203",
"MGYA00103359","3.0","ERS1568972","MGYS00000991","metagenomic",,"ERR1855281",
"MGYA00133834","3.0","ERS490320","MGYS00001918","metagenomic",,"ERR594415",
"MGYA00083484","3.0","ERS1372610","MGYS00001282","metagenomic",,"ERR1664716",
"MGYA00126339","3.0","SRS085765","MGYS00000355","metagenomic",,"SRR063766",
"MGYA00084054","3.0","ERS1418487","MGYS00001291","metagenomic",,"ERR1698993",
"MGYA00104181","3.0","ERS614323","MGYS00001609","metagenomic",,"ERR694208",
"MGYA00083271","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662415",
"MGYA00083197","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662346",
"MGYA00134775","3.0","SRS981293","MGYS00001932","metagenomic",,"SRR2090117",
"MGYA00126355","3.0","SRS085764","MGYS00000355","metagenomic",,"SRR062241",
"MGYA00103961","3.0","ERS714918","MGYS00001608","metagenomic",,"ERR868087",
"MGYA00103317","3.0","ERS1568965","MGYS00000991","metagenomic",,"ERR1855288",
"MGYA00098653","3.0","ERS903622","MGYS00001488","metagenomic",,"ERR1055651",
"MGYA00104140","3.0","ERS614327","MGYS00001609","metagenomic",,"ERR694121",
"MGYA00103975","3.0","ERS714918","MGYS00001608","metagenomic",,"ERR868102",
"MGYA00083340","3.0","ERS1370019","MGYS00001282","metagenomic",,"ERR1662243",
"MGYA00126359","3.0","SRS085730","MGYS00000355","metagenomic",,"SRR062203",
"MGYA00083246","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662380",
"MGYA00083173","3.0","ERS1370024","MGYS00001282","metagenomic",,"ERR1662288",
"MGYA00103323","3.0","ERS1569008","MGYS00000991","metagenomic",,"ERR1855254",
"MGYA00096444","3.0","ERS1507287","MGYS00001432","metagenomic",,"ERR1801636",
"MGYA00126370","3.0","SRS085776","MGYS00000355","metagenomic",,"SRR062253",
"MGYA00083239","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662222",
"MGYA00103320","3.0","ERS1568996","MGYS00000991","metagenomic",,"ERR1855250",
"MGYA00134797","3.0","SRS981295","MGYS00001932","metagenomic",,"SRR2090115",
"MGYA00083365","3.0","ERS1370016","MGYS00001282","metagenomic",,"ERR1662443",
"MGYA00083333","3.0","ERS1370023","MGYS00001282","metagenomic",,"ERR1662266",
"MGYA00083416","3.0","ERS1370019","MGYS00001282","metagenomic",,"ERR1662244",
"MGYA00083348","3.0","ERS1370016","MGYS00001282","metagenomic",,"ERR1662454",
"MGYA00126449","3.0","SRS085721","MGYS00000355","metagenomic",,"SRR063769",
"MGYA00126452","3.0","SRS085679","MGYS00000355","metagenomic",,"SRR062152",
"MGYA00096474","3.0","ERS1507288","MGYS00001432","metagenomic",,"ERR1801667",
"MGYA00126435","3.0","SRS085726","MGYS00000355","metagenomic",,"SRR062199",
"MGYA00104159","3.0","ERS614331","MGYS00001609","metagenomic",,"ERR694175",
"MGYA00133886","3.0","ERS489084","MGYS00001918","metagenomic",,"ERR594367",
"MGYA00083245","3.0","ERS1370021","MGYS00001282","metagenomic",,"ERR1662523",
"MGYA00083232","3.0","ERS1372606","MGYS00001282","metagenomic",,"ERR1664695",
"MGYA00083194","3.0","ERS1370020","MGYS00001282","metagenomic",,"ERR1662485",
"MGYA00133910","3.0","ERS488448","MGYS00001918","metagenomic",,"ERR594406",
"MGYA00126374","3.0","SRS085702","MGYS00000355","metagenomic",,"SRR062175",
"MGYA00126377","3.0","SRS085693","MGYS00000355","metagenomic",,"SRR062166",
"MGYA00104087","3.0","ERS614333","MGYS00001609","metagenomic",,"ERR694181",
"MGYA00131523","3.0","SRS172667","MGYS00001836","metagenomic",,"SRR107108",
"MGYA00103992","3.0","ERS714918","MGYS00001608","metagenomic",,"ERR868115",
"MGYA00083241","3.0","ERS1372610","MGYS00001282","metagenomic",,"ERR1664719",
"MGYA00083431","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662386",
"MGYA00103969","3.0","ERS714917","MGYS00001608","metagenomic",,"ERR868040",
"MGYA00103984","3.0","ERS714918","MGYS00001608","metagenomic",,"ERR868091",
"MGYA00100642","3.0","ERS1286200","MGYS00001512","metagenomic",,"ERR1560099",
"MGYA00131526","3.0","SRS172668","MGYS00001836","metagenomic",,"SRR100499",
"MGYA00104076","3.0","ERS614329","MGYS00001609","metagenomic",,"ERR694150",
"MGYA00083272","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662305",
"MGYA00126349","3.0","SRS085664","MGYS00000355","metagenomic",,"SRR062134",
"MGYA00083492","3.0","ERS1370026","MGYS00001282","metagenomic",,"ERR1662333",
"MGYA00100741","3.0","ERS955806","MGYS00001522","metagenomic",,"ERR1111517",
"MGYA00083123","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662416",
"MGYA00083464","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662360",
"MGYA00096438","3.0","ERS1502388","MGYS00001430","metagenomic",,"ERR1794059",
"MGYA00083387","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662427",
"MGYA00083432","3.0","ERS1370020","MGYS00001282","metagenomic",,"ERR1662467",
"MGYA00083302","3.0","ERS1370019","MGYS00001282","metagenomic",,"ERR1662239",
"MGYA00083457","3.0","ERS1370013","MGYS00001282","metagenomic",,"ERR1662183",
"MGYA00096482","3.0","ERS1507287","MGYS00001432","metagenomic",,"ERR1801631",
"MGYA00133871","3.0","ERS488558","MGYS00001918","metagenomic",,"ERR594401",
